RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
0790039PART	Louis Garneau Stop Zone Shoe Cover	"""Louis Garneau Stop Zone Shoe Cover.  Features:  Water resistant shoe cover in Stopzone to ride in the rain--
Back opening with 4 inches/12 cm zip and velcro fastener--
Ergonomic knit cut-out at the back--
Heel and toe opening for cleats--
Reflective a"""	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790039PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790039PART.jpg	34.99	45	New	Louis Garneau			Yes					-1
0701194PART	Louis Garneau Women's Classic Chamois Tight	"Louis Garneau Women's Classic Chamois Tight. Made from Lycra elastic with adjustable drawstring at waist.  Ideal for cool weather cycling."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0701194PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0701194PART.jpg	54.99	65	New	Louis Garneau			Yes					-1
0770019PART	Biemme Windstopper Booties Black	"Biemme Windstopper Booties are constructed from highly technical materials that are durable and extremely windproof while maintaining excellent breathe-ability."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0770019PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0770019PART.jpg	44.99	44.99	New	Biemme			Yes	Black				-1
0770026PART	Biemme Airweck Nylon Jacket	"Biemme Airweck Nylon Jacket is W.R. treated to be windproof resistant yet breatheable. Constructed with mesh panels and reflective bands on the back."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0770026PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0770026PART.jpg	59.99	80	New	Biemme			Yes					-1
0710115PART	Trico Baggy Gel Women's Short	"Trico Baggy Gel Woman's Short.  Patented Trico Gel chamois provides the ultimate in comfort.  Elastic waist band with drawstring and elastic leg gripper system.  Dual velcro closure cargo pockets and dual side seam pockets.  Outer shell fabric is 100% Sup"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710115PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710113.gif	54.99	70	New	Trico			Yes					-1
0710113PART	Trico Baggy Gel Short	"Trico Baggy Gel Short.  Elastic waist band with drawstring and elastic leg gripper system. Dual velcro closuer cargo pockets and dual side seam pockets. Outer shell fabric is 100% Supplex Nylon Inner brief is a breathable Nylon, Lycra blend."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710113PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710113.gif	69.99	80	New	Trico			Yes	Black				-1
0701150PART	Michelin (Hincapie) Team Jersey	"World class quality & style, 15''/38 cm invisible zip, Elastic at bottom, 3 back pockets."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0701150PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0701150PART.jpg	79.99	70	New	Michelin			Yes					-1
0721152PART	Cannondale Classic Cycling Short	"Cannondale Classic short is constructed of Ergoflex Plus fabric, Stitch free chamois provides greater comfort.  Contoured with 6 panels. Integrated envelope style back pocket and reflective accents complete this short."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0721152PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0721152PART.jpg	42.99	50	New	Cannondale			Yes					-1
0710137PART	Cannondale Classique Jersey	"Cannondale Classique Jersey is made of dry light fabric and cut in a competition fit cut. Reflective accents along shoulders and seam of jersey bottom. 3 traditional back pockets and an easy access side zip pocket."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710137PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710137PART.jpg	39.99	55	New	Cannondale			Yes			Polyester                                         	unisex    	-1
0710135PART	Cannondale Berm Jersey	"Cannondale Berm Jersey is made of Micro C fabric and cut in an everyday fit.  Chafe free flat-lock stitching, mesh side panels for ventilation.  3 back pockets store mid-ride essentials."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710135PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710135PART.jpg	44.99	55	New	Cannondale			Yes			Polyester                                         	unisex    	-1
