code	name	description	price	product-url	merchant-site-category	image-url	manufacturer	classification	condition	size	color	SalePrice	MSRP	in-stock	availability	promo-text	shipping-price
1010040	Campagnolo Record QS Ergopower Shifter Levers	The New  Ergopower™ Record™ controls, body and levers, are still in composite but their left-hand control mechanism has been slightly modified to increase the performance reference when interfaced with QS™ front derailleurs. The modification is to the ind	319.94999999999999	http://www.bicyclebuys.com/drivetrain/ShiftersRoad/1010040	Bicycles > Shifter/Levers > Road Shifters	http://www.bicyclebuys.com/productimages/1010040.jpg	Campagnolo	new	new			319.95	380	y	1,2		
1799973	Topeak OneUp Wall Mount Rack	Elegant and functional, the OneUp is the perfectbicycle storage solution for apartments and othersmall spaces. A molded rubber bar keeps the front wheel stationary preventing the bike from twisting. Includes all mounting hardware plus a molded rear wheel 	34.990000000000002	http://www.bicyclebuys.com/storagesystems/WallStorage/1799973	Bicycles > Storage Systems > Wall Storage Systems	http://www.bicyclebuys.com/productimages/1799973.jpg	Topeak	new	new		Grey	34.99	40	y	1,2		
0129935	Racor Solo Vertical Bike Rack B-1R	Racor Solo Vertical Bike Rack B-1R.  Made of sturdy solid steel construction and a durable epoxy finish, the Solo Bike Rack has a lifetime warranty. No assembly required. Easy wall installation with provided hardware.	19.989999999999998	http://www.bicyclebuys.com/storagesystems/WallStorage/0129935	Bicycles > Storage Systems > Wall Storage Systems	http://www.bicyclebuys.com/productimages/0129935.jpg	Racor	new	new			19.99	25	y	1,2		
1604366	Cane Creek 110 Headset Black	Cane Creek 110 headset represents the latest, highest-technology headset offered by Cane Creek - the originators of the threadless headset. Unlike other brands, CC uses a tapered compression ring that sets preload and stays true, with no rocking or creaki	114.98999999999999	http://www.bicyclebuys.com/bikeparts/Headsets/1604366	Bicycles > Headsets > Headsets	http://www.bicyclebuys.com/productimages/1604366.jpg	Cane Creek	new	new	1 1-8	Black	114.99	170	y	1,2		
0255576PART	Haro Mega 4" Spider Pegs	Haro Mega 4" Spider Pegs comes in a High Shine Chrome Plated Steel or Painted Black. For 14mm axles or 3/8" with inserts  to prevent peg rotation. 4 " long smooth surface ideal for grinding. Weight: 1.19 lbs / 540 grams	18.989999999999998	http://www.bicyclebuys.com/accessories/BMXAccess/0255576PART	Bicycles > BMX Accessories > BMX Accessories	http://www.bicyclebuys.com/productimages/0255576.jpg	Haro	new	new			18.99	25	y	1,2		
0129967	Cycleops Fluid 2 Indoor Trainer - Cycleops Trainer	Cycleops Fluid 2 Indoor Trainer.  Fluid 2 trainer  has a large flywheel that provides a  road like feel. The progressive resistance curve  increases wattage as speed increases. With the Power Band technology you get the widest resistance range.  Anywhere 	296.99000000000001	http://www.bicyclebuys.com/indoortrainers/indoortrainers/0129967	Bicycles > Indoor Trainers > Indoor Trainers	http://www.bicyclebuys.com/productimages/0129967.jpg	Cycleops	new	new			296.99	330	y	1,2	Call In Mngr Special Free Shipping	0.00
0100057	Blackburn Airfix Inflator/Multi-Tool	Blackburn Airfix CO2 inflator/Multitool comes with built-in tire lever, chain tool, 3,4,5,6, and 8mm hex key,screwdriver, andTorx T-25. Compatible w/ 16gr threadless cartridges. Inflator safety button prevents accidental discharge. One cartridge included*	26.989999999999998	http://www.bicyclebuys.com/maintenance/ToolMulti/0100057	Bicycles > Tools > Multi Tools	http://www.bicyclebuys.com/productimages/0100057.jpg	Blackburn	new	new			26.99	50	y	1,2	Limited Time 	
1599907	Shimano Ultegra CN6600 10/speed Chain	Shimano's CN6600 Ultegra 10/speed chain.  Super Narrow chain is uni-directional.  Weight 280gms.	36.990000000000002	http://www.bicyclebuys.com/drivetrain/Chains/1599907	Bicycles > Chains > Chains	http://www.bicyclebuys.com/productimages/1599904.gif	Shimano	new	new			36.99	50	y	1,2		
ANACHGPART	Answer Accelerator MTB Half Glove	The Answer Accelerator is a high performance mountain biking glove. Clarino palm for soft and supple feel, wash after wash. Tack grip in key pressure points for traction and protection. The top of the glove is breathable, flexible Expandex.	14.99	http://www.bicyclebuys.com/clothing/Gloves/ANACHGPART	Bicycles > Gloves > Cycling Gloves	http://www.bicyclebuys.com/productimages/anachg.jpg	AnswerManitou	new	new		Orange	14.99	28	y	1,2		
0129964	Cycleops Mag +Plus Indoor Trainer - Cycleops Trainer	Cycleops Magnetic Plus Trainer provides adjustable resistance while you are training without getting off the bike.  The integrated unit provides 5 tension setting adjustments.	179.99000000000001	http://www.bicyclebuys.com/indoortrainers/indoortrainers/0129964	Bicycles > Indoor Trainers > Indoor Trainers	http://www.bicyclebuys.com/productimages/0129964-1.jpg	Cycleops	new	new			179.99	200	y	1,2	Limited Time Free Shipping	0.00
