MPID	Title	Brand	UPC	MPN	MerchantCategory	ProductURL	imageURL	Availability	Price	Description
0750118TRR-Y	Pace Cycling Cap Traditional Reflective Yellow	Pace Clothing	836481007272	14-0046	Hats	http://www.bicyclebuys.com/item/0750118TRR-Y/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0750118TRR-Y.jpg	In Stock	15.99	Pace Cycling Cap Traditional Reflective Yellow
0750118TRR-W	Pace Cycling Cap Traditional Reflective White	Pace Clothing	836481007289	14-0048	Hats	http://www.bicyclebuys.com/item/0750118TRR-W/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0750118TRR-W.jpg	In Stock	15.99	Pace Cycling Cap Traditional Reflective White
0750110-ORG	Pace VaporTech Skull Cap Hi-Viz Orange	Pace Clothing	836481007203	17-9906	Hats	http://www.bicyclebuys.com/item/0750110-ORG/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0750110-ORG.jpg	In Stock	15.99	Pace VaporTech Skull Cap Hi-Viz Orange
1799995	Cannondale Mini Tool BMT-15 Function '14	Cannondale	884603482582	3BMT15/BLK	Tools	http://www.bicyclebuys.com/item/1799995/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799995.jpg	In Stock	19.99	Cannondale Mini Tool BMT-15 Function '14
1799996	Cannondale Mini Tool BMT-10 Function '14	Cannondale	884603482575	3BMT10/BLK	Tools	http://www.bicyclebuys.com/item/1799996/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1799996.jpg	In Stock	13.99	Cannondale Mini Tool BMT-10 Function '14
0603168	Geax Evolution II 29 x 1.9 Tire	Geax Tire	641740177807	112.3V9.23.48.111TG	ATB Tires	http://www.bicyclebuys.com/item/0603168/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603168.jpg	In Stock	29.99	Geax Evolution II 29 x 1.9 Tire
0721212PART	Cannondale Bethel 71 Classic Cycling Cap '13	Cannondale		2H414	Hats	http://www.bicyclebuys.com/item/0721212PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0721212PART.jpg	In Stock	12.99	Cannondale Bethel 71 Classic Cycling Cap '13
0791499PART	Sugoi Cannondale LiquiGas Pro Cycling Team Jersey Full Zipper	Cannondale		2T160	Jerseys	http://www.bicyclebuys.com/item/0791499PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0120061PART.jpg	In Stock	69.99	Sugoi Cannondale LiquiGas Pro Cycling Team Jersey Full Zipper
BEIN3PART	Bell Influx Helmet '13	Bell		BEINFL13	Helmets	http://www.bicyclebuys.com/item/BEIN3PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/BEIN2PART.jpg	In Stock	49.99	Bell Influx Helmet '13
0791497PART	Sugoi Cannondale LiquiGas Pro Cycling Team Sock '13	Sugoi		2T462	Socks	http://www.bicyclebuys.com/item/0791497PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0791497PART.jpg	In Stock	12.99	Sugoi Cannondale LiquiGas Pro Cycling Team Sock '13
0791498PART	Sugoi Cannondale LiquiGas Pro Cycling Team Bib Short '13	Sugoi		2T260	Bibs-Short	http://www.bicyclebuys.com/item/0791498PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0791498PART.jpg	In Stock	79.99	Sugoi Cannondale LiquiGas Pro Cycling Team Bib Short '13
0791500PART	Sugoi Cannondale LiquiGas Pro Cycling Team Glove '13	Cannondale		2T461	Gloves	http://www.bicyclebuys.com/item/0791500PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0791500PART.jpg	In Stock	19.99	Sugoi Cannondale LiquiGas Pro Cycling Team Glove '13
0710107PART	Cannondale Blaze Plus Jacket '13	Cannondale		2M350	Jackets	http://www.bicyclebuys.com/item/0710107PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710107PART.jpg	In Stock	139.99	Cannondale Blaze Plus Jacket '13
0721213PART	Cannondale Train Station Cycling Cap '12	Cannondale		1H414	Hats	http://www.bicyclebuys.com/item/0721213PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0721213PART.jpg	In Stock	12.99	Cannondale Train Station Cycling Cap '12
0710108PART	Cannondale Women's Blaze Plus Jacket '13	Cannondale		2F350	Jackets	http://www.bicyclebuys.com/item/0710108PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0710108PART.jpg	In Stock	149.99	Cannondale Women's Blaze Plus Jacket '13
0720119PART	Mavic Inferno Thermo Glove	Mavic		12823	Gloves	http://www.bicyclebuys.com/item/0720119PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0720119PART.jpg	In Stock	54.95	Mavic Inferno Thermo Glove
0602137	GT Sandbox 20x2.10 BMX Tire	GT	03867597712	GTTIS3	BMX Tires	http://www.bicyclebuys.com/item/0602137/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0602137.jpg	In Stock	16.99	GT Sandbox 20x2.10 BMX Tire
0602138PART	GT Pool BMX Tire	GT		GTTIP	BMX Tires	http://www.bicyclebuys.com/item/0602138PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0602138PART.jpg	In Stock	17.99	GT Pool BMX Tire
0603261PART	Geax Saguaro 26 inch TNT Tubeless Ready Tire	Geax Tire		SAG26TNT	ATB Tires	http://www.bicyclebuys.com/item/0603261PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603261PART.jpg	In Stock	49.99	Geax Saguaro 26 inch TNT Tubeless Ready Tire
0414464-12	Shimano SH12 (2' Float) Cleat	Shimano	689228710153	SM-SH12	Clipless Pedals	http://www.bicyclebuys.com/item/0414464-12/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0414464-12.jpg	In Stock	29.99	Shimano SH12 (2' Float) Cleat
0119812	Cannondale Airspeed Transition Travel Pump '14	Cannondale	884603482544	3MP07/BLK	Pumps	http://www.bicyclebuys.com/item/0119812/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119812.jpg	In Stock	69.99	Cannondale Airspeed Transition Travel Pump '14
0119813	Cannondale Airspeed Co2 Micro-Fill '14	Cannondale	884603482551	3CO201/BLK	Pumps	http://www.bicyclebuys.com/item/0119813/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119813.jpg	In Stock	19.99	Cannondale Airspeed Co2 Micro-Fill '14
0119814	Cannondale Airspeed Co2 Micro-Fill Kit '14	Cannondale	884603482568	3CO202KIT/BLK	Pumps	http://www.bicyclebuys.com/item/0119814/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0119814.jpg	In Stock	39.99	Cannondale Airspeed Co2 Micro-Fill Kit '14
0147023	Niterider Lumina 700 Headlight	Niterider	702699067059	6705	LightSets	http://www.bicyclebuys.com/item/0147023/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0147023.jpg	In Stock	119.99	Niterider Lumina 700 Headlight
0603204PART	Hutchinson Equinox 2 Folding Road Tire	Hutchinson		PV523	Road Tires	http://www.bicyclebuys.com/item/0603204PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603204PART.jpg	In Stock	24.99	Hutchinson Equinox 2 Folding Road Tire
1630434PART	Profile Designs Brief Bar Ends	Profile Design		PDBRBE	Bar Ends	http://www.bicyclebuys.com/item/1630434PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1630434PART.jpg	In Stock	17.99	Profile Designs Brief Bar Ends
1405513	Shimano Sora BL-3500 Brake Levers Black	Shimano	689228313378	Bl-3500	Brakes	http://www.bicyclebuys.com/item/1405513/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1405513.jpg	In Stock	27.99	Shimano Sora BL-3500 Brake Levers Black
1010104PART	Shimano BR-M395 Disc Brake Set	Shimano		BR-M395	Brakes-Disc	http://www.bicyclebuys.com/item/1010104PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1010104PART.jpg	In Stock	44.99	Shimano BR-M395 Disc Brake Set
1010075	Shimano Road Shift Cable Set	Shimano	689228605022	Y60098501	Shifters	http://www.bicyclebuys.com/item/1010075/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1010075.jpg	In Stock	8.99	Shimano Road Shift Cable Set
1736239	Vittoria Tire Remover Lever (3 pieces)	Vittoria		1115TL0300752BK	Tire Tools	http://www.bicyclebuys.com/item/1736239/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/1736239.jpg	In Stock	2.99	Vittoria Tire Remover Lever (3 pieces)
0601471	Geax Latex Tube 26x1.7/2.3 Presta RVC 36mm	Geax Tire	641740028604	1122LT3621222BX	Tubes	http://www.bicyclebuys.com/item/0601471/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0601471.jpg	In Stock	13.99	Geax Latex Tube 26x1.7/2.3 Presta RVC 36mm
0603161	Geax AKA 29 x 2.2 Foldable Tire	Geax Tire			ATB Tires	http://www.bicyclebuys.com/item/0603161/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603161.jpg	In Stock	39.99	Geax AKA 29 x 2.2 Foldable Tire
0603162	Geax AKA 29 x 2.0 TNT Tire	Geax Tire	641740177708	112.3A9.32.50.611HD	ATB Tires	http://www.bicyclebuys.com/item/0603162/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603162.jpg	In Stock	39.99	Geax AKA 29 x 2.0 TNT Tire
0150150	Louis Garneau Mini X- Race Seat Bag	Louis Garneau	775504606484	1493995020OS	Bags	http://www.bicyclebuys.com/item/0150150/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0150150.jpg	In Stock	14.39	Louis Garneau Mini X- Race Seat Bag
0150121	Louis Garneau TR-40 Backpack	Louis Garneau	775504606521	1493970020OS	Bags	http://www.bicyclebuys.com/item/0150121/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0150121.jpg	In Stock	99.99	Louis Garneau TR-40 Backpack
0601467-25	Vittoria Latex Tube 700x25-28 51mm Presta Valve	Vittoria	641740028307	282.204.0	Tubes	http://www.bicyclebuys.com/item/0601467-25/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0601467.jpg	In Stock	13.99	Vittoria Latex Tube 700x25-28 51mm Presta Valve
0603162-22	Geax AKA 29 x 2.2 TNT Tire	Geax Tire	641740173205	112.3A9.32.56.611HD	ATB Tires	http://www.bicyclebuys.com/item/0603162-22/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603162.jpg	In Stock	42.99	Geax AKA 29 x 2.2 TNT Tire
0130110	Kuat U-Bar Bike Adapter	Kuat Racks	896581002263	UB01	Car Carriers	http://www.bicyclebuys.com/item/0130110/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0130110.jpg	In Stock	34.99	Kuat U-Bar Bike Adapter
0130111	Kuat DirtBag Skewer Mount DRT1	Kuat Racks	896581002317	DRT1	Car Carriers	http://www.bicyclebuys.com/item/0130111/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0130111.jpg	In Stock	11.99	Kuat DirtBag Skewer Mount DRT1
0130112	Kuat NV +2 Add On For NV Racks	Kuat Racks	896581002218	N103	Car Carriers	http://www.bicyclebuys.com/item/0130112/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0130112.jpg	In Stock	374.95	Kuat NV +2 Add On For NV Racks
0603164	Sunlite Fatbike 26 x 4.0 Presta Tube	Sunlite	072774634446	63444	Tubes	http://www.bicyclebuys.com/item/0603164/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603164.jpg	In Stock	16.99	Sunlite Fatbike 26 x 4.0 Presta Tube
0603226PART	Hutchinson Toro 29 inch Tubeless Ready RR Tire	Hutchinson		TORO29	ATB Tires	http://www.bicyclebuys.com/item/0603226PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0603226PART.jpg	In Stock	49.99	Hutchinson Toro 29 inch Tubeless Ready RR Tire
0602078PART	Vittoria Fully Removable Aluminium Valve	Vittoria	VIT000016	1615RV0211222BL	Tire Tools	http://www.bicyclebuys.com/item/0602078PART/?utm_source=bing-shopping&utm_medium=comparison-shopping&utm_campaign=Bing-Shopping	http://www.bicyclebuys.com/productimages/0602078PART.jpg	In Stock	18.99	Vittoria Fully Removable Aluminium Valve
