RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
0402090	BikeHard City Pro Clipless Pedals	"The BikeHard City Pro pedal is a product of some of the most logical developments in pedal technology. Conveniently designed to work with both standard footwear and cycling specific shoes, one side is a platform and the other has an SPD compatible cliples"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0402090#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0402090.jpg	59.99	85	New	BikeHard		0402090	Yes					-1
0129968	Sigma BC1909 Topline STS Triple Wireless Cycle Computer	"Sleek, modern, and full of features, the Sigma BC1909 Topline Triple Wireless Cycle Computer is the perfect companion for training.  Maximize your rides using the calorie counter, programmable heart rate functions and cadence. Your fitness goals will be e"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0129968#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0129968.jpg	99.99	150	New	Sigma Sport	01990	750220019909	Yes			Plastic                                           	unisex    	-1
0129969	Sigma BC2209 Topline MHR STS Triple Wireless Cycle Computer w/Altimeter	"Modern and multi-functional. Sigma's BC2209 Topline MHR STS Triple Wireless Cycle Computer w/Altimeter features altitude, speed, heart rate, cadence and temperature. Using the included wrist strap, you can even venture off the bike and record data. A larg"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0129969#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0129969.jpg	99.99	160	New	Sigma Sport	02290	750220022909	Yes			Plastic                                           	unisex    	-1
0508030SR	Easton R4SL Freehub Body Sram/Shimano (2021227)	"Easton's Ultralight SL Freehub Body allows you to change component manufacturers without sacrificing your rear wheel or having to re-lace a new hub, the SL hub body  is also the perfect upgrade for your EA-90SL or Aero wheelset, save approximately 15 gram"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0508030SR#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0508030SR.jpg	119.99	123.2	New	Easton	2021227	768686826634	Yes	Black/Silver	Sram	Alloy                                             	unisex    	-1
0603185	Vittoria Corsa Evo CX II 28" x 23mm Tubular Tire	"Corsa Evo CX is the world’s best-known and most-used Servizio Corse tubular, the choice of champions: exclusive to Vittoria, the 320 TPI polycotton/Kevlar casing confers a uniquely supple ride and exquisite handling. Handmade, like all
our Servizio Corse"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0603185#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0603185.jpg	99.99	120	New	Vittoria	174.523.1	641740148302	Yes					-1
PITRF3PART	Pearl Izumi Tri Fly III Cycling Shoe	"The Pearl Izumi Tri Fly III offers the same amazing triathlon specific upper as the Tri Fly III Carbon with the addition of a vented nylon sole."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/PITRF3PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/PITRF3PART.jpg	89.99	125	New	Pearl Izumi			Yes		46.5			-1
0402101	BikeHard Pro Mag Road Pedal	"The BikeHard Pro Mag road pedal is the new flagship racing pedal of the BikeHard line.  Thoroughly redesigned in shape and profile, this magnesium body pedal is lighter, smoother rolling, and lower profile than any pedal in its class.  Three sealed cartri"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0402101#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0402101.jpg	119.99	150	New	BikeHard			Yes					-1
0900226PART	Selle Italia Lady Sport Gel Flow Saddle	"Selle Italia Lady Sport Gel Flow Saddle is contoured for the woman.  Vanox rails mnake this a light yet strong saddle.  Handmade in Italy"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0900226PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0900226.jpg	89.99	140	New	Selle Italia			Yes					-1
0486717	Shimano XTR PD-M985 Trail Clipless MTB Pedals	"Shimano PD-M985 XTR Trail Clipless MTB Pedals. Building on the long legacy of Shimano Pedaling Dynamics (SPD) technology, the new XTR Trail pedal is engineered for the specific needs of aggressive trail riders everywhere, with an open, mud-shedding design"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0486717#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0486717.jpg	179.99	250	New	Shimano	M985	689228429918	Yes					-1
0119751	Topeak Joe Blow Turbo (TJB-TBO) Floor Pump	"Topeak Joe Blow Turbo has a large, elevated gauge, an extra long hose and SmartHead™ valve.  All alloy base and body.  Comes with air needle and presta adapter."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0119751#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0119751.jpg	54.99	70	New	Topeak	TJB-TBO	768661115142	Yes					-1
